CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,CLASIFICACION_ESTABLECIMIENTO,DIRECCION,TELEFONO_1,TELEFONO_2,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,STATUS_num,MODALIDAD_num,JORNADA_num,PLAN_num,DEPARTAMENTAL_num
16-01-0613-46,16-031,ALTA VERAPAZ,COBAN,colegio particular mixto anton de montesinos,colegio,1a. calle 7-22 zona 3,77259205,sin telefono,Mercedes Josefina Torres Galvez,MARGARITA  VILLALOBOS LIGORRÍA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,0,1,1,1,0
16-01-0616-46,16-037,ALTA VERAPAZ,COBAN,instituto nacional de educacion diversificada,instituto,aldea salacuim,57300783,sin telefono,Ernesto Caal Choc,BRYAN FARUC PRADO TUT,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,0,1,4,1,0
16-01-0619-46,16-031,ALTA VERAPAZ,COBAN,colegio particular mixto anton de montesinos,colegio,1a. calle 7-22 zona 3,77259205,sin telefono,Mercedes Josefina Torres Galvez,MARGARITA  VILLALOBOS LIGORRÍA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,1,1,4,1,0
16-01-0642-46,16-005,ALTA VERAPAZ,COBAN,instituto nacional de educacion diversificada,instituto,aldea choval,53331646,sin telefono,Rudy Adolfo Tot Och,GILDA ARACELY WELLMANN DUARTE,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,0,1,4,1,0
16-01-0646-46,16-031,ALTA VERAPAZ,COBAN,instituto mixto privado salud y desarrollo,instituto,diagnonal 1 1-26 zona 1,44042550,sin telefono,Mercedes Josefina Torres Galvez,ERWIN ROLANDO XOL CHUN,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,1,1,0,2,0
16-01-0651-46,16-031,ALTA VERAPAZ,COBAN,centro de formacion integral ciudad de la esperanza,centro educativo,6a. av. 10-68 zona 12 colonia el esfuerzo i,77367652,sin telefono,Mercedes Josefina Torres Galvez,BYRON ANIBAL GÓMEZ GATICA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,0,1,1,1,0
16-01-0652-46,16-037,ALTA VERAPAZ,COBAN,instituto maya comunitario k amolb e,instituto,aldea nimlajacoc,30621374,sin telefono,Ernesto Caal Choc,JOSE LINO QUIB CHE,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,0,0,4,1,0
16-01-0664-46,16-031,ALTA VERAPAZ,COBAN,liceo americano del norte,liceo,5ta. avenida 2-23 zona 4,79514754,sin telefono,Mercedes Josefina Torres Galvez,JOSÉ CUPERTINO REYES GARCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,0,1,1,1,0
16-01-0665-46,16-031,ALTA VERAPAZ,COBAN,colegio de informatica ceninfav,colegio,12 avenida 2-12 zona 1,79545566,sin telefono,Mercedes Josefina Torres Galvez,MARIA MAGDALENA BOL CU,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),ALTA VERAPAZ,1,1,0,1,0
16-01-0666-46,16-031,ALTA VERAPAZ,COBAN,colegio de informatica ceninfav,colegio,12 avenida 2-12 zona 1,79521765,sin telefono,Mercedes Josefina Torres Galvez,HÉCTOR VIDAL BOL CÚ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,1,1,0,2,0
16-01-0668-46,16-031,ALTA VERAPAZ,COBAN,colegio particular mixto imperial,colegio,"5a calle 1-98, zona 3",57101061,sin telefono,Mercedes Josefina Torres Galvez,HÉCTOR WALDEMAR TOT COY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ALTA VERAPAZ,0,1,0,1,0
16-01-0671-46,16-031,ALTA VERAPAZ,COBAN,colegio privado mixto tecnologico en informatica,colegio,2a. calle 12-23 zona 4,79521190,sin telefono,Mercedes Josefina Torres Galvez,JORGE SALVADOR JUÁREZ SIERRA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ALTA VERAPAZ,0,1,0,1,0
16-01-0672-46,16-031,ALTA VERAPAZ,COBAN,ica,otro,11avenida 1-10 zona 1,33509500,sin telefono,Mercedes Josefina Torres Galvez,LAIDY ANDREA CHOCOOJ TIUL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,0,1,1,1,0
16-01-0678-46,16-031,ALTA VERAPAZ,COBAN,colegio la libertad,colegio,3a. avenida cinco guion doce (5-12),48979726,sin telefono,Mercedes Josefina Torres Galvez,SILVIA YOLANDA CAAL QUIM,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,0,1,0,2,0
16-01-0681-46,16-031,ALTA VERAPAZ,COBAN,instituto mixto privado santo domingo,instituto,"2a. calle 11-10, zona 2",79529830,sin telefono,Mercedes Josefina Torres Galvez,AMÉRICA  NUILA LUTHER,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,0,1,0,2,0
16-01-0690-46,16-031,ALTA VERAPAZ,COBAN,isea la escuela en su casa,escuela,1a. av. 4-24 zona 2,77930803,sin telefono,Mercedes Josefina Torres Galvez,LUDWIN JOEL NORIEGA MORALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,ALTA VERAPAZ,0,1,0,0,0
16-01-0694-46,16-031,ALTA VERAPAZ,COBAN,colegio la libertad,colegio,3a. av. 5-12 zona 4,55564568,sin telefono,Mercedes Josefina Torres Galvez,SILVIA YOLANDA CAAL QUIM,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,ALTA VERAPAZ,0,1,0,3,0
16-01-0703-46,16-031,ALTA VERAPAZ,COBAN,instituto mixto privado salud y desarrollo,instituto,diagnonal 1 1-26 zona 1,51922050,sin telefono,Mercedes Josefina Torres Galvez,SAMANTHA GABRIELA DE LA CRUZ MORALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,0,0,4,1,0
16-01-0705-46,16-050,ALTA VERAPAZ,COBAN,programa nacional de educacion alternativa pronea,otro,7a. av. 2-18 d zona 1,45587767,sin telefono,Maximiliano Chub Ical,--,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,ALTA VERAPAZ,0,1,0,0,0
16-01-0710-46,16-031,ALTA VERAPAZ,COBAN,oxford bilingual school,otro,2da. calle 16-94 zona 4,79513898,sin telefono,Mercedes Josefina Torres Galvez,DARWIN ROBERTO IGLESIAS DE LA CRUZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,0,0,1,1,0
16-01-0712-46,16-050,ALTA VERAPAZ,COBAN,enbi centro de educacion extraescolar ceex,centro educativo,10 avenida 1-25 zona 3,79521302,sin telefono,Maximiliano Chub Ical,ANABELA CECILIA BOL CAAL,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,0,0,4,1,0
16-01-0909-46,16-031,ALTA VERAPAZ,COBAN,isea la escuela en su casa,escuela,"2a. calle a 11-10, zona 1",77256954,sin telefono,Mercedes Josefina Torres Galvez,LUDWIN JOEL NORIEGA MORALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL,ALTA VERAPAZ,0,1,3,3,0
16-01-0910-46,16-031,ALTA VERAPAZ,COBAN,colegio de informatica ceninfav,colegio,"12 avenida 2-12, zona 1",79521765,sin telefono,Mercedes Josefina Torres Galvez,HÉCTOR VIDAL BOL CÚ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL,ALTA VERAPAZ,0,1,3,3,0
16-01-0912-46,16-031,ALTA VERAPAZ,COBAN,colegio privado mixto tecnologico en informatica,colegio,"2a. calle 12-23, zona 4",79511459,sin telefono,Mercedes Josefina Torres Galvez,DANIEL BERNARDO RAMIREZ GONZÁLEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL,ALTA VERAPAZ,0,1,3,3,0
16-01-0913-46,16-031,ALTA VERAPAZ,COBAN,instituto mixto privado salud y desarrollo,instituto,"diagonal 1 1-26, zona 1",59584790,sin telefono,Mercedes Josefina Torres Galvez,SAMANTHA GABRIELA DE LA CRUZ MORALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL,ALTA VERAPAZ,0,1,3,3,0
16-01-0915-46,16-031,ALTA VERAPAZ,COBAN,instituto mixto privado santo domingo,instituto,"2a. calle 11-10, zona 2",79529830,sin telefono,Mercedes Josefina Torres Galvez,AMÉRICA  NUILA LUTHER,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL,ALTA VERAPAZ,0,1,3,3,0
16-01-0917-46,16-031,ALTA VERAPAZ,COBAN,instituto privado mixto monja blanca,instituto,"diagonal 3 14-11, zona 2",79513896,sin telefono,Mercedes Josefina Torres Galvez,EDWIN ARMANDO CATÚN CAAL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL,ALTA VERAPAZ,0,1,3,3,0
16-01-0918-46,16-031,ALTA VERAPAZ,COBAN,liceo preuniversitario de norte,liceo,"3a. avenida 8-32, zona 10",79417346,sin telefono,Mercedes Josefina Torres Galvez,ZOILA IMENA LÓPEZ RODAS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL,ALTA VERAPAZ,0,1,3,3,0
16-01-0919-46,16-031,ALTA VERAPAZ,COBAN,liceo mixto particular san benito,liceo,"9a. avenida 4-55, zona 4",37058145,sin telefono,Mercedes Josefina Torres Galvez,HENRI MARCO ARTOLA TEYUL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,0,1,4,1,0
16-01-0922-46,16-031,ALTA VERAPAZ,COBAN,colegio la libertad,colegio,"3a. avenida 5-12, zona 4",33857209,sin telefono,Mercedes Josefina Torres Galvez,SILVIA YOLANDA CAAL QUIM,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL,ALTA VERAPAZ,0,1,3,3,0
16-01-0926-46,16-005,ALTA VERAPAZ,COBAN,instituto nacional de educacion diversificada,instituto,2a. calle 1-99 zona 4 coban,45282976,sin telefono,Rudy Adolfo Tot Och,ESTHER GUADALUPE PINEDA OCHAETA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ALTA VERAPAZ,0,1,2,1,0
16-01-0927-46,16-005,ALTA VERAPAZ,COBAN,instituto nacional de educacion diversificada,instituto,2a. calle 1-99 zona 4,45282976,sin telefono,Rudy Adolfo Tot Och,ESTHER GUADALUPE PINEDA OCHAETA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ALTA VERAPAZ,0,1,2,1,0
16-01-0982-46,16-050,ALTA VERAPAZ,COBAN,centro de educacion extraescolar ceex,centro educativo,8a. avenida 02-43 zona 1,45423234,sin telefono,Maximiliano Chub Ical,LIDIA DOLORES YAT XOL,DIVERSIFICADO,OFICIAL,SIN ESPECIFICAR,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,ALTA VERAPAZ,0,1,0,3,0
16-01-0986-46,16-031,ALTA VERAPAZ,COBAN,colegio mixto la excelencia,colegio,"2a. calle 8-18 zona 4, coban",41114848,sin telefono,Mercedes Josefina Torres Galvez,ZULY BEATRIZ LÓPEZ WINTER,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,0,1,0,2,0
16-01-0987-46,16-031,ALTA VERAPAZ,COBAN,colegio mixto la excelencia,colegio,"2a. calle 8-18 zona 4, coban",41114848,sin telefono,Mercedes Josefina Torres Galvez,ZULY BEATRIZ LÓPEZ WINTER,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL,ALTA VERAPAZ,0,1,3,3,0
16-01-0990-46,16-031,ALTA VERAPAZ,COBAN,liceo mixto particular san benito,liceo,"9a. avenida 4-55, zona 4",37058145,sin telefono,Mercedes Josefina Torres Galvez,HENRI MARCO ARTOLA TEYUL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL,ALTA VERAPAZ,0,1,3,3,0
16-01-0991-46,16-031,ALTA VERAPAZ,COBAN,liceo mixto particular san benito,liceo,"9a. avenida 4-55, zona 4",37058145,sin telefono,Mercedes Josefina Torres Galvez,HENRI MARCO ARTOLA TEYUL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,0,1,0,2,0
16-01-0994-46,16-050,ALTA VERAPAZ,COBAN,centro de educacion extraescolar ceex,centro educativo,barrio chivencorral zona 12,49972934,sin telefono,Maximiliano Chub Ical,HENRRY ALEXANDER DE LOS SANTOS MUTZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ALTA VERAPAZ,0,1,0,1,0
16-01-1172-46,16-006,ALTA VERAPAZ,COBAN,colegio particular mixto carlos v,colegio,6a. calle 2-06 zona 8 periferico sur coban,sin telefono,sin telefono,Efrain Caal Cuc,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,FIN DE SEMANA,ALTA VERAPAZ,1,1,1,2,0
16-01-1173-46,16-006,ALTA VERAPAZ,COBAN,colegio particular mixto carlos v,colegio,6a. calle 2-06 zona 8 periferico sur coban,sin telefono,sin telefono,Efrain Caal Cuc,--,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,1,1,1,1,0
