CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,CLASIFICACION_ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
16-01-0559-46,16-005,ALTA VERAPAZ,COBAN,instituto normal primaria bilingue intercultural ads. al instituto emilio rosales ponce,instituto,3A. AVE. 6-23 ZONA 11,79521468,RUDY ADOLFO TOT OCH,VICTOR HUGO DOMÍNGUEZ REYES,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0563-46,16-031,ALTA VERAPAZ,COBAN,centro de formacion integral las conchas fmg,centro educativo,ALDEA LAS CONCHAS,79522793,MERCEDES JOSEFINA TORRES GALVEZ,DAVID WALDEMAR URRUTIA CHOC,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0565-46,16-031,ALTA VERAPAZ,COBAN,instituto mixto privado salud y desarrollo,instituto,DIAGNONAL 1 1-26 ZONA 1,51922050,MERCEDES JOSEFINA TORRES GALVEZ,SAMANTHA GABRIELA DE LA CRUZ MORALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0568-46,16-031,ALTA VERAPAZ,COBAN,instituto privado raul chenal heinemann,instituto,5A. CALLE 1-06 ZONA 3,79510413,MERCEDES JOSEFINA TORRES GALVEZ,SILVIA BEATRIZ SOTO CHÉN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0570-46,16-031,ALTA VERAPAZ,COBAN,liceo miguel angel asturias,liceo,7A. CALLE 1-13 ZONA 3,79511103,MERCEDES JOSEFINA TORRES GALVEZ,JAYRON ARIEL COY CACAO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0572-46,16-031,ALTA VERAPAZ,COBAN,liceo miguel angel asturias,liceo,7A. CALLE 1-13 ZONA 3,79511103,MERCEDES JOSEFINA TORRES GALVEZ,JAYRON ARIEL COY CACAO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0573-46,16-031,ALTA VERAPAZ,COBAN,colegio cristiano bilingue verbo,colegio,4A. CALLE A 4-32 ZONA 8,77945181,MERCEDES JOSEFINA TORRES GALVEZ,LESLY EUGENIA CHOCOOJ VIDAURRE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0574-46,16-005,ALTA VERAPAZ,COBAN,escuela nacional de ciencias comerciales,escuela,2A. CALLE 11-10 ZONA 2,53530198,RUDY ADOLFO TOT OCH,ERVIN ORLANDO JUAREZ SAM,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0583-46,16-031,ALTA VERAPAZ,COBAN,colegio nuevos senderos,colegio,"3A. CALLE 3-74, ZONA 3",79417300,MERCEDES JOSEFINA TORRES GALVEZ,ZOYLA ARGENTINA MOLLINEDO ALVARADO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0604-46,16-031,ALTA VERAPAZ,COBAN,instituto privado raul chenal heinemann,instituto,"5A. CALLE 1-06, ZONA 3",79510413,MERCEDES JOSEFINA TORRES GALVEZ,SILVIA BEATRIZ SOTO CHÉN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0609-46,16-031,ALTA VERAPAZ,COBAN,instituto mixto de educacion bilingue intercultural imebi,instituto,LOTIFICACION CHIVENCORRAL,30367501,MERCEDES JOSEFINA TORRES GALVEZ,JUAN PASCUAL LUCAS ANTONIO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0611-46,16-031,ALTA VERAPAZ,COBAN,colegio hispanoamericano,colegio,"1A CALLE 17-41 COMUNIDAD PETET CHIXIC, ZONA 12",74725125,MERCEDES JOSEFINA TORRES GALVEZ,OCTAVIO ISMAEL BATZ CHOC,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0612-46,16-031,ALTA VERAPAZ,COBAN,instituto de magisterio de educacion preprimaria infantil bilingue intercultural luz del saber,instituto,"CALZADA RABIN AJAU, ZONA 1",57565646,MERCEDES JOSEFINA TORRES GALVEZ,THELMA MARTINA POP TZIR,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0613-46,16-031,ALTA VERAPAZ,COBAN,colegio particular mixto anton de montesinos,colegio,1A. CALLE 7-22 ZONA 3,77259205,MERCEDES JOSEFINA TORRES GALVEZ,MARGARITA  VILLALOBOS LIGORRÍA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0616-46,16-037,ALTA VERAPAZ,COBAN,instituto nacional de educacion diversificada,instituto,ALDEA SALACUIM,57300783,ERNESTO CAAL CHOC,BRYAN FARUC PRADO TUT,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0619-46,16-031,ALTA VERAPAZ,COBAN,colegio particular mixto anton de montesinos,colegio,1A. CALLE 7-22 ZONA 3,77259205,MERCEDES JOSEFINA TORRES GALVEZ,MARGARITA  VILLALOBOS LIGORRÍA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0642-46,16-005,ALTA VERAPAZ,COBAN,instituto nacional de educacion diversificada,instituto,ALDEA CHOVAL,53331646,RUDY ADOLFO TOT OCH,GILDA ARACELY WELLMANN DUARTE,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0646-46,16-031,ALTA VERAPAZ,COBAN,instituto mixto privado salud y desarrollo,instituto,DIAGNONAL 1 1-26 ZONA 1,44042550,MERCEDES JOSEFINA TORRES GALVEZ,ERWIN ROLANDO XOL CHUN,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0651-46,16-031,ALTA VERAPAZ,COBAN,centro de formacion integral ciudad de la esperanza,centro educativo,6A. AV. 10-68 ZONA 12 COLONIA EL ESFUERZO I,77367652,MERCEDES JOSEFINA TORRES GALVEZ,BYRON ANIBAL GÓMEZ GATICA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0652-46,16-037,ALTA VERAPAZ,COBAN,instituto maya comunitario k amolb e,instituto,ALDEA NIMLAJACOC,30621374,ERNESTO CAAL CHOC,JOSE LINO QUIB CHE,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0664-46,16-031,ALTA VERAPAZ,COBAN,liceo americano del norte,liceo,5TA. AVENIDA 2-23 ZONA 4,79514754,MERCEDES JOSEFINA TORRES GALVEZ,JOSÉ CUPERTINO REYES GARCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0665-46,16-031,ALTA VERAPAZ,COBAN,colegio de informatica ceninfav,colegio,12 AVENIDA 2-12 ZONA 1,79545566,MERCEDES JOSEFINA TORRES GALVEZ,MARIA MAGDALENA BOL CU,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0666-46,16-031,ALTA VERAPAZ,COBAN,colegio de informatica ceninfav,colegio,12 AVENIDA 2-12 ZONA 1,79521765,MERCEDES JOSEFINA TORRES GALVEZ,HÉCTOR VIDAL BOL CÚ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0668-46,16-031,ALTA VERAPAZ,COBAN,colegio particular mixto imperial,colegio,"5A CALLE 1-98, ZONA 3",57101061,MERCEDES JOSEFINA TORRES GALVEZ,HÉCTOR WALDEMAR TOT COY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0671-46,16-031,ALTA VERAPAZ,COBAN,colegio privado mixto tecnologico en informatica,colegio,2A. CALLE 12-23 ZONA 4,79521190,MERCEDES JOSEFINA TORRES GALVEZ,JORGE SALVADOR JUÁREZ SIERRA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0672-46,16-031,ALTA VERAPAZ,COBAN,ica,otro,11AVENIDA 1-10 ZONA 1,33509500,MERCEDES JOSEFINA TORRES GALVEZ,LAIDY ANDREA CHOCOOJ TIUL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0678-46,16-031,ALTA VERAPAZ,COBAN,colegio la libertad,colegio,3A. AVENIDA CINCO GUION DOCE (5-12),48979726,MERCEDES JOSEFINA TORRES GALVEZ,SILVIA YOLANDA CAAL QUIM,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0681-46,16-031,ALTA VERAPAZ,COBAN,instituto mixto privado santo domingo,instituto,"2A. CALLE 11-10, ZONA 2",79529830,MERCEDES JOSEFINA TORRES GALVEZ,AMÉRICA  NUILA LUTHER,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0690-46,16-031,ALTA VERAPAZ,COBAN,isea la escuela en su casa,escuela,1A. AV. 4-24 ZONA 2,77930803,MERCEDES JOSEFINA TORRES GALVEZ,LUDWIN JOEL NORIEGA MORALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,ALTA VERAPAZ
16-01-0694-46,16-031,ALTA VERAPAZ,COBAN,colegio la libertad,colegio,3A. AV. 5-12 ZONA 4,55564568,MERCEDES JOSEFINA TORRES GALVEZ,SILVIA YOLANDA CAAL QUIM,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,ALTA VERAPAZ
16-01-0703-46,16-031,ALTA VERAPAZ,COBAN,instituto mixto privado salud y desarrollo,instituto,DIAGNONAL 1 1-26 ZONA 1,51922050,MERCEDES JOSEFINA TORRES GALVEZ,SAMANTHA GABRIELA DE LA CRUZ MORALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0705-46,16-050,ALTA VERAPAZ,COBAN,programa nacional de educacion alternativa pronea,otro,7A. AV. 2-18 D ZONA 1,45587767,MAXIMILIANO CHUB ICAL,--,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,ALTA VERAPAZ
16-01-0710-46,16-031,ALTA VERAPAZ,COBAN,oxford bilingual school,otro,2DA. CALLE 16-94 ZONA 4,79513898,MERCEDES JOSEFINA TORRES GALVEZ,DARWIN ROBERTO IGLESIAS DE LA CRUZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0712-46,16-050,ALTA VERAPAZ,COBAN,enbi centro de educacion extraescolar ceex,centro educativo,10 AVENIDA 1-25 ZONA 3,79521302,MAXIMILIANO CHUB ICAL,ANABELA CECILIA BOL CAAL,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0909-46,16-031,ALTA VERAPAZ,COBAN,isea la escuela en su casa,escuela,"2A. CALLE ""A"" 11-10, ZONA 1",77256954,MERCEDES JOSEFINA TORRES GALVEZ,LUDWIN JOEL NORIEGA MORALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ
16-01-0910-46,16-031,ALTA VERAPAZ,COBAN,colegio de informatica ceninfav,colegio,"12 AVENIDA 2-12, ZONA 1",79521765,MERCEDES JOSEFINA TORRES GALVEZ,HÉCTOR VIDAL BOL CÚ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ
16-01-0912-46,16-031,ALTA VERAPAZ,COBAN,colegio privado mixto tecnologico en informatica,colegio,"2A. CALLE 12-23, ZONA 4",79511459,MERCEDES JOSEFINA TORRES GALVEZ,DANIEL BERNARDO RAMIREZ GONZÁLEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ
16-01-0913-46,16-031,ALTA VERAPAZ,COBAN,instituto mixto privado salud y desarrollo,instituto,"DIAGONAL 1 1-26, ZONA 1",59584790,MERCEDES JOSEFINA TORRES GALVEZ,SAMANTHA GABRIELA DE LA CRUZ MORALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ
16-01-0915-46,16-031,ALTA VERAPAZ,COBAN,instituto mixto privado santo domingo,instituto,"2A. CALLE 11-10, ZONA 2",79529830,MERCEDES JOSEFINA TORRES GALVEZ,AMÉRICA  NUILA LUTHER,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ
16-01-0917-46,16-031,ALTA VERAPAZ,COBAN,instituto privado mixto monja blanca,instituto,"DIAGONAL 3 14-11, ZONA 2",79513896,MERCEDES JOSEFINA TORRES GALVEZ,EDWIN ARMANDO CATÚN CAAL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ
16-01-0918-46,16-031,ALTA VERAPAZ,COBAN,liceo preuniversitario de norte,liceo,"3A. AVENIDA 8-32, ZONA 10",79417346,MERCEDES JOSEFINA TORRES GALVEZ,ZOILA IMENA LÓPEZ RODAS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ
16-01-0919-46,16-031,ALTA VERAPAZ,COBAN,liceo mixto particular san benito,liceo,"9A. AVENIDA 4-55, ZONA 4",37058145,MERCEDES JOSEFINA TORRES GALVEZ,HENRI MARCO ARTOLA TEYUL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0922-46,16-031,ALTA VERAPAZ,COBAN,colegio la libertad,colegio,"3A. AVENIDA 5-12, ZONA 4",33857209,MERCEDES JOSEFINA TORRES GALVEZ,SILVIA YOLANDA CAAL QUIM,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ
16-01-0926-46,16-005,ALTA VERAPAZ,COBAN,instituto nacional de educacion diversificada,instituto,2A. CALLE 1-99 ZONA 4 COBAN,45282976,RUDY ADOLFO TOT OCH,ESTHER GUADALUPE PINEDA OCHAETA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0927-46,16-005,ALTA VERAPAZ,COBAN,instituto nacional de educacion diversificada,instituto,2A. CALLE 1-99 ZONA 4,45282976,RUDY ADOLFO TOT OCH,ESTHER GUADALUPE PINEDA OCHAETA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0982-46,16-050,ALTA VERAPAZ,COBAN,centro de educacion extraescolar ceex,centro educativo,8A. AVENIDA 02-43 ZONA 1,45423234,MAXIMILIANO CHUB ICAL,LIDIA DOLORES YAT XOL,DIVERSIFICADO,OFICIAL,SIN ESPECIFICAR,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,ALTA VERAPAZ
16-01-0986-46,16-031,ALTA VERAPAZ,COBAN,colegio mixto la excelencia,colegio,"2A. CALLE 8-18 ZONA 4, COBAN",41114848,MERCEDES JOSEFINA TORRES GALVEZ,ZULY BEATRIZ LÓPEZ WINTER,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0987-46,16-031,ALTA VERAPAZ,COBAN,colegio mixto la excelencia,colegio,"2A. CALLE 8-18 ZONA 4, COBAN",41114848,MERCEDES JOSEFINA TORRES GALVEZ,ZULY BEATRIZ LÓPEZ WINTER,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ
16-01-0990-46,16-031,ALTA VERAPAZ,COBAN,liceo mixto particular san benito,liceo,"9A. AVENIDA 4-55, ZONA 4",37058145,MERCEDES JOSEFINA TORRES GALVEZ,HENRI MARCO ARTOLA TEYUL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),ALTA VERAPAZ
16-01-0991-46,16-031,ALTA VERAPAZ,COBAN,liceo mixto particular san benito,liceo,"9A. AVENIDA 4-55, ZONA 4",37058145,MERCEDES JOSEFINA TORRES GALVEZ,HENRI MARCO ARTOLA TEYUL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0994-46,16-050,ALTA VERAPAZ,COBAN,centro de educacion extraescolar ceex,centro educativo,BARRIO CHIVENCORRAL ZONA 12,49972934,MAXIMILIANO CHUB ICAL,HENRRY ALEXANDER DE LOS SANTOS MUTZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ALTA VERAPAZ
16-01-1172-46,16-006,ALTA VERAPAZ,COBAN,colegio particular mixto carlos v,colegio,6A. CALLE 2-06 ZONA 8 PERIFERICO SUR COBAN,,EFRAIN CAAL CUC,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,FIN DE SEMANA,ALTA VERAPAZ
16-01-1173-46,16-006,ALTA VERAPAZ,COBAN,colegio particular mixto carlos v,colegio,6A. CALLE 2-06 ZONA 8 PERIFERICO SUR COBAN,,EFRAIN CAAL CUC,--,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-1174-46,16-031,ALTA VERAPAZ,COBAN,instituto privado raul chenal heinemann,instituto,5A. CALLE 1-06 ZONA 3,79510413,MERCEDES JOSEFINA TORRES GALVEZ,SILVIA BEATRIZ SOTO CHÉN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-1175-46,16-031,ALTA VERAPAZ,COBAN,instituto privado raul chenal heinemann,instituto,5TA. CALLE 1-06 ZONA 3,79520414,MERCEDES JOSEFINA TORRES GALVEZ,SILVIA BEATRIZ SOTO CHÉN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
